Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Gustatory areas/ layer 2/3,GU2/3,180,right,all,7371,181.109,688.129,7371,181.109,688.129
Gustatory areas/ layer 4,GU4,148,left,all,2079,237.087,1006.04,2079,237.087,1006.04
Gustatory areas/ layer 4,GU4,148,right,all,2555,201.801,711.357,2555,201.801,711.357
Gustatory areas/ layer 5,GU5,187,left,all,7591,263.882,1003.99,7591,263.882,1003.99
Gustatory areas/ layer 5,GU5,187,right,all,8353,217.476,770.099,8353,217.476,770.099
Gustatory areas/ layer 6a,GU6a,638,left,all,5620,243.896,1002.63,5620,243.896,1002.63
Gustatory areas/ layer 6a,GU6a,638,right,all,4765,173.353,782.961,4765,173.353,782.961
Gustatory areas/ layer 6b,GU6b,662,left,all,472,147.001,988.125,472,147.001,988.125
Gustatory areas/ layer 6b,GU6b,662,right,all,390,119.3,795.782,390,119.3,795.782
Visceral area,VISC,677,left,all,32319,268.536,1109.5,32319,268.536,1109.5
Visceral area,VISC,677,right,all,20828,230.683,853.643,20828,230.683,853.643
Visceral area/ layer 1,VISC1,897,left,all,3367,250.577,931.524,3367,250.577,931.524
Visceral area/ layer 1,VISC1,897,right,all,2747,172.075,726.206,2747,172.075,726.206
Visceral area/ layer 2/3,VISC2/3,1106,left,all,8843,223.718,1031.36,8843,223.718,1031.36
Visceral area/ layer 2/3,VISC2/3,1106,right,all,5620,242.724,862.985,5620,242.724,862.985
Visceral area/ layer 4,VISC4,1010,left,all,2682,288.716,1209.64,2682,288.716,1209.64
Visceral area/ layer 4,VISC4,1010,right,all,1633,299.853,920.975,1633,299.853,920.975
Visceral area/ layer 5,VISC5,1058,left,all,8681,330.725,1214.86,8681,330.725,1214.86
Visceral area/ layer 5,VISC5,1058,right,all,5862,272.469,923.387,5862,272.469,923.387
Visceral area/ layer 6a,VISC6a,857,left,all,8160,252.14,1121.21,8160,252.14,1121.21
Visceral area/ layer 6a,VISC6a,857,right,all,4577,182.223,810.546,4577,182.223,810.546
Visceral area/ layer 6b,VISC6b,849,left,all,586,262.756,1129.19,586,262.756,1129.19
Visceral area/ layer 6b,VISC6b,849,right,all,389,120.688,792.015,389,120.688,792.015
Auditory areas,AUD,247,left,all,63382,237.161,929.028,63382,237.161,929.028
Auditory areas,AUD,247,right,all,64558,210.186,761.346,64558,210.186,761.346
Dorsal auditory area,AUDd,1011,left,all,11001,224.968,901.003,11001,224.968,901.003
Dorsal auditory area,AUDd,1011,right,all,11351,206.927,772.391,11351,206.927,772.391
Dorsal auditory area/ layer 1,AUDd1,527,left,all,519,192.647,762.478,519,192.647,762.478
Dorsal auditory area/ layer 1,AUDd1,527,right,all,1924,151.101,649.704,1924,151.101,649.704
Dorsal auditory area/ layer 2/3,AUDd2/3,600,left,all,2024,190.237,830.016,2024,190.237,830.016
Dorsal auditory area/ layer 2/3,AUDd2/3,600,right,all,3538,179.977,744.198,3538,179.977,744.198
Dorsal auditory area/ layer 4,AUDd4,678,left,all,1258,190.587,849.467,1258,190.587,849.467
Dorsal auditory area/ layer 4,AUDd4,678,right,all,1035,270.936,856.434,1035,270.936,856.434
Dorsal auditory area/ layer 5,AUDd5,252,left,all,4257,235.498,926.795,4257,235.498,926.795
Dorsal auditory area/ layer 5,AUDd5,252,right,all,3069,252.7,859.182,3069,252.7,859.182
Dorsal auditory area/ layer 6a,AUDd6a,156,left,all,2521,251.349,959.48,2521,251.349,959.48
Dorsal auditory area/ layer 6a,AUDd6a,156,right,all,1730,208.011,768.216,1730,208.011,768.216
Dorsal auditory area/ layer 6b,AUDd6b,243,left,all,422,269.966,955.95,422,269.966,955.95
Dorsal auditory area/ layer 6b,AUDd6b,243,right,all,55,100.559,584.709,55,100.559,584.709
Primary auditory area,AUDp,1002,left,all,23017,220.903,878.013,23017,220.903,878.013
Primary auditory area,AUDp,1002,right,all,23892,212.003,774.987,23892,212.003,774.987
Primary auditory area/ layer 1,AUDp1,735,left,all,2644,166.507,709.372,2644,166.507,709.372
Primary auditory area/ layer 1,AUDp1,735,right,all,5273,158.875,666.475,5273,158.875,666.475
Primary auditory area/ layer 2/3,AUDp2/3,251,left,all,5665,176.624,796.511,5665,176.624,796.511
Primary auditory area/ layer 2/3,AUDp2/3,251,right,all,6488,188.665,782.399,6488,188.665,782.399
Primary auditory area/ layer 4,AUDp4,816,left,all,2842,197.911,888.049,2842,197.911,888.049
Primary auditory area/ layer 4,AUDp4,816,right,all,2431,288.918,880.53,2431,288.918,880.53
Primary auditory area/ layer 5,AUDp5,847,left,all,7394,277.412,977.261,7394,277.412,977.261
Primary auditory area/ layer 5,AUDp5,847,right,all,6602,255.305,834.225,6602,255.305,834.225
Primary auditory area/ layer 6a,AUDp6a,954,left,all,3940,232.033,915.457,3940,232.033,915.457
Primary auditory area/ layer 6a,AUDp6a,954,right,all,3034,200.121,738.126,3034,200.121,738.126
Primary auditory area/ layer 6b,AUDp6b,1005,left,all,532,217.789,873.667,532,217.789,873.667
Primary auditory area/ layer 6b,AUDp6b,1005,right,all,64,129.918,591.75,64,129.918,591.75
Posterior auditory area,AUDpo,1027,left,all,4867,241.3,908.178,4867,241.3,908.178
Posterior auditory area,AUDpo,1027,right,all,6483,200.859,707.003,6483,200.859,707.003
