Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,right,all,6067,368.384,1174.29,6067,368.384,1174.29
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,left,all,7803,304.01,1058.39,7803,304.01,1058.39
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,right,all,5401,282.791,975.082,5401,282.791,975.082
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,left,all,238,280.573,1019.51,238,280.573,1019.51
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,right,all,166,255.673,890.645,166,255.673,890.645
Primary somatosensory area/ trunk,SSp-tr,361,left,all,1201,252.019,795.464,1201,252.019,795.464
Primary somatosensory area/ trunk,SSp-tr,361,right,all,1392,230.281,710.6,1392,230.281,710.6
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,left,all,7,232.584,802.286,7,232.584,802.286
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,right,all,129,258.592,740.457,129,258.592,740.457
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,left,all,823,255.626,795.437,823,255.626,795.437
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,right,all,1008,223.769,699.131,1008,223.769,699.131
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,left,all,371,244.384,795.394,371,244.384,795.394
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,right,all,255,241.697,740.831,255,241.697,740.831
Primary somatosensory area/ unassigned,SSp-un,182305689,left,all,8348,331.375,1066.94,8348,331.375,1066.94
Primary somatosensory area/ unassigned,SSp-un,182305689,right,all,6112,299.542,984.943,6112,299.542,984.943
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,left,all,98,379.532,1001.28,98,379.532,1001.28
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,right,all,314,283.372,962.924,314,283.372,962.924
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,left,all,1292,315.075,1033.72,1292,315.075,1033.72
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,right,all,1224,265.266,932.481,1224,265.266,932.481
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,left,all,1430,318.292,1087.05,1430,318.292,1087.05
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,right,all,921,273.992,976.996,921,273.992,976.996
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,left,all,2668,371.804,1142.68,2668,371.804,1142.68
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,right,all,1655,360.604,1096.85,1655,360.604,1096.85
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,left,all,2739,305.436,1003.33,2739,305.436,1003.33
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,right,all,1942,284.638,934.705,1942,284.638,934.705
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,left,all,121,316.748,1006.96,121,316.748,1006.96
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,right,all,56,271.773,820.804,56,271.773,820.804
Supplemental somatosensory area,SSs,378,left,all,88055,359.897,1123.74,88055,359.897,1123.74
Supplemental somatosensory area,SSs,378,right,all,58587,292.663,996.261,58587,292.663,996.261
Supplemental somatosensory area/ layer 1,SSs1,873,left,all,10810,323.138,999.543,10810,323.138,999.543
Supplemental somatosensory area/ layer 1,SSs1,873,right,all,7617,277.982,864.429,7617,277.982,864.429
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,left,all,23711,313.167,1091.24,23711,313.167,1091.24
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,right,all,13921,260.909,978.059,13921,260.909,978.059
Supplemental somatosensory area/ layer 4,SSs4,1035,left,all,11763,457.903,1261.59,11763,457.903,1261.59
Supplemental somatosensory area/ layer 4,SSs4,1035,right,all,7589,318.583,1097.32,7589,318.583,1097.32
