Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,5003,7870.26,646.651,5003,7870.26,646.651
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,14385,7232.77,739.785,14385,7232.77,739.785
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,5866,7392.4,632.05,5866,7392.4,632.05
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,9723,5565.67,703.168,9723,5565.67,703.168
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,4319,5834.69,569.387,4319,5834.69,569.387
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,490,5531.6,769.478,490,5531.6,769.478
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,116,4996.11,589.474,116,4996.11,589.474
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,16244,7254.54,645,16244,7254.54,645
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,10903,7381.21,618.124,10903,7381.21,618.124
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,1121,6010.53,552.344,1121,6010.53,552.344
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,743,6863.6,577.436,743,6863.6,577.436
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,4147,6129.14,605.828,4147,6129.14,605.828
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,2581,6529.86,588.406,2581,6529.86,588.406
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,3868,9466.37,712.698,3868,9466.37,712.698
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,right,all,2519,8811.55,667.004,2519,8811.55,667.004
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,left,all,4538,7331.6,657.867,4538,7331.6,657.867
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,right,all,3025,7927.94,639.887,3025,7927.94,639.887
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,left,all,2473,6141.2,622.235,2473,6141.2,622.235
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,right,all,2004,6046.44,577.083,2004,6046.44,577.083
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,left,all,97,6325.39,669.464,97,6325.39,669.464
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,right,all,31,7377.52,625.097,31,7377.52,625.097
Primary somatosensory area/ trunk,SSp-tr,361,left,all,6807,7859.28,674.219,6807,7859.28,674.219
Primary somatosensory area/ trunk,SSp-tr,361,right,all,4009,7071.2,627.327,4009,7071.2,627.327
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,left,all,422,7404.79,642.557,422,7404.79,642.557
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,right,all,309,8148.15,663.728,309,8148.15,663.728
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,left,all,753,6666.03,620.664,753,6666.03,620.664
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,right,all,542,7685.75,612.869,542,7685.75,612.869
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,left,all,3110,8585.74,677.831,3110,8585.74,677.831
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,right,all,1855,7249.2,621.158,1855,7249.2,621.158
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,left,all,2307,7518.51,690.238,2307,7518.51,690.238
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,right,all,1191,6325.91,632.321,1191,6325.91,632.321
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,left,all,215,6078.6,699.805,215,6078.6,699.805
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,right,all,112,6103.1,645.92,112,6103.1,645.92
Primary somatosensory area/ unassigned,SSp-un,182305689,left,all,6552,7330.55,634.105,6552,7330.55,634.105
Primary somatosensory area/ unassigned,SSp-un,182305689,right,all,4251,7785.29,627.891,4251,7785.29,627.891
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,left,all,424,6256.15,540.517,424,6256.15,540.517
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,right,all,291,6391.65,571.371,291,6391.65,571.371
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,left,all,1591,6434.67,590.545,1591,6434.67,590.545
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,right,all,869,8000.9,610.264,869,8000.9,610.264
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,left,all,1513,9684.81,701.387,1513,9684.81,701.387
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,right,all,986,8851.16,660.225,986,8851.16,660.225
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,left,all,1908,6920.89,634.804,1908,6920.89,634.804
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,right,all,1219,7982.22,651.673,1219,7982.22,651.673
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,left,all,1066,6453.6,635.825,1066,6453.6,635.825
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,right,all,870,6612.95,595.629,870,6612.95,595.629
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,left,all,50,8037.61,714.52,50,8037.61,714.52
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,right,all,16,4480.96,563.062,16,4480.96,563.062
Supplemental somatosensory area,SSs,378,left,all,69948,7355.14,660.258,69948,7355.14,660.258
Supplemental somatosensory area,SSs,378,right,all,40895,6709.65,594.277,40895,6709.65,594.277
Supplemental somatosensory area/ layer 1,SSs1,873,left,all,3588,6232.28,550.408,3588,6232.28,550.408
Supplemental somatosensory area/ layer 1,SSs1,873,right,all,3086,5460.91,504.972,3086,5460.91,504.972
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,left,all,13870,6032.76,601.716,13870,6032.76,601.716
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,right,all,9456,5910.09,569.345,9456,5910.09,569.345
Supplemental somatosensory area/ layer 4,SSs4,1035,left,all,11781,8467.78,676.225,11781,8467.78,676.225
Supplemental somatosensory area/ layer 4,SSs4,1035,right,all,7613,8029.35,629.81,7613,8029.35,629.81
Supplemental somatosensory area/ layer 5,SSs5,1090,left,all,24999,7907.28,682.967,24999,7907.28,682.967
Supplemental somatosensory area/ layer 5,SSs5,1090,right,all,13078,6892.16,608.18,13078,6892.16,608.18
Supplemental somatosensory area/ layer 6a,SSs6a,862,left,all,14631,7168.93,685.4,14631,7168.93,685.4
Supplemental somatosensory area/ layer 6a,SSs6a,862,right,all,7319,6621.21,600.516,7319,6621.21,600.516
Supplemental somatosensory area/ layer 6b,SSs6b,893,left,all,1079,5672.16,736.668,1079,5672.16,736.668
Supplemental somatosensory area/ layer 6b,SSs6b,893,right,all,343,5624.96,633.251,343,5624.96,633.251
Gustatory areas,GU,1057,left,all,8649,5829.58,627.383,8649,5829.58,627.383
Gustatory areas,GU,1057,right,all,5956,5713.46,527.474,5956,5713.46,527.474
