Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,25469,189.26,810.478,25469,189.26,810.478
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,16487,178.899,739.039,16487,178.899,739.039
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,1381,132.744,773.611,1381,132.744,773.611
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,934,117.506,614.957,934,117.506,614.957
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,41580,204.034,851.241,41580,204.034,851.241
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,29605,166.133,734.407,29605,166.133,734.407
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,3700,190.702,713.772,3700,190.702,713.772
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,2557,151.033,638.43,2557,151.033,638.43
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,11307,175.611,856.869,11307,175.611,856.869
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,8008,143.214,749.556,8008,143.214,749.556
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,6057,210.9,927.098,6057,210.9,927.098
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,right,all,4146,176.5,785.534,4146,176.5,785.534
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,left,all,9711,287.484,980.847,9711,287.484,980.847
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,right,all,6354,228.46,850.886,6354,228.46,850.886
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,left,all,10099,163.093,739.174,10099,163.093,739.174
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,right,all,8193,142.648,640.848,8193,142.648,640.848
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,left,all,706,107.985,651.078,706,107.985,651.078
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,right,all,347,95.6651,557.277,347,95.6651,557.277
Primary somatosensory area/ trunk,SSp-tr,361,left,all,15461,206.526,911.423,15461,206.526,911.423
Primary somatosensory area/ trunk,SSp-tr,361,right,all,12585,175.076,759.207,12585,175.076,759.207
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,left,all,94,243.731,901.011,94,243.731,901.011
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,right,all,365,214.166,803.238,365,214.166,803.238
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,left,all,3874,196.334,850.511,3874,196.334,850.511
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,right,all,3855,153.106,721.502,3855,153.106,721.502
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,left,all,2564,174.504,915.812,2564,174.504,915.812
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,right,all,1592,159.063,759.746,1592,159.063,759.746
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,left,all,5147,254.525,997.125,5147,254.525,997.125
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,right,all,3810,222.58,837.605,3810,222.58,837.605
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,left,all,3340,176.638,859.054,3340,176.638,859.054
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,right,all,2668,150.035,703.886,2668,150.035,703.886
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,left,all,442,140.6,819.794,442,140.6,819.794
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,right,all,295,113.155,682.359,295,113.155,682.359
Primary somatosensory area/ unassigned,SSp-un,182305689,left,all,13509,196.707,837.849,13509,196.707,837.849
Primary somatosensory area/ unassigned,SSp-un,182305689,right,all,9854,156.812,675.235,9854,156.812,675.235
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,left,all,1224,172.279,699.771,1224,172.279,699.771
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,right,all,1002,144.515,622.92,1002,144.515,622.92
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,left,all,3675,165.619,837.144,3675,165.619,837.144
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,right,all,2441,139.273,694.807,2441,139.273,694.807
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,left,all,2152,225.42,910.521,2152,225.42,910.521
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,right,all,1423,175.182,720.77,1423,175.182,720.77
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,left,all,2987,268.326,963.893,2987,268.326,963.893
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,right,all,2053,195.85,748.251,2053,195.85,748.251
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,left,all,3264,161.416,738.365,3264,161.416,738.365
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,right,all,2734,140.655,607.488,2734,140.655,607.488
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,left,all,207,117.573,661.198,207,117.573,661.198
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,right,all,201,122.078,551.706,201,122.078,551.706
Supplemental somatosensory area,SSs,378,left,all,117560,217.951,869.021,117560,217.951,869.021
Supplemental somatosensory area,SSs,378,right,all,78427,165.212,687.773,78427,165.212,687.773
Supplemental somatosensory area/ layer 1,SSs1,873,left,all,9963,232.661,730.644,9963,232.661,730.644
Supplemental somatosensory area/ layer 1,SSs1,873,right,all,6565,153.154,598.656,6565,153.154,598.656
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,left,all,26719,179.519,869.545,26719,179.519,869.545
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,right,all,18467,140.091,702.939,18467,140.091,702.939
Supplemental somatosensory area/ layer 4,SSs4,1035,left,all,15561,221.814,992.964,15561,221.814,992.964
Supplemental somatosensory area/ layer 4,SSs4,1035,right,all,9977,170.643,754.046,9977,170.643,754.046
Supplemental somatosensory area/ layer 5,SSs5,1090,left,all,31894,267.389,940.744,31894,267.389,940.744
Supplemental somatosensory area/ layer 5,SSs5,1090,right,all,18885,196.808,738.643,18885,196.808,738.643
Supplemental somatosensory area/ layer 6a,SSs6a,862,left,all,30330,201.404,788.84,30330,201.404,788.84
Supplemental somatosensory area/ layer 6a,SSs6a,862,right,all,22468,162.021,638.475,22468,162.021,638.475
Supplemental somatosensory area/ layer 6b,SSs6b,893,left,all,3093,135.578,733.312,3093,135.578,733.312
Supplemental somatosensory area/ layer 6b,SSs6b,893,right,all,2065,147.72,586.428,2065,147.72,586.428
Gustatory areas,GU,1057,left,all,21581,199.549,782.911,21581,199.549,782.911
Gustatory areas,GU,1057,right,all,15809,173.725,670.237,15809,173.725,670.237
Gustatory areas/ layer 1,GU1,36,left,all,1632,243.931,712.775,1632,243.931,712.775
Gustatory areas/ layer 1,GU1,36,right,all,821,168.37,614.741,821,168.37,614.741
Gustatory areas/ layer 2/3,GU2/3,180,left,all,3953,154.521,753.989,3953,154.521,753.989
Gustatory areas/ layer 2/3,GU2/3,180,right,all,3269,154.259,675.899,3269,154.259,675.899
Gustatory areas/ layer 4,GU4,148,left,all,1768,167.477,795.302,1768,167.477,795.302
Gustatory areas/ layer 4,GU4,148,right,all,1254,154.969,673.187,1254,154.969,673.187
Gustatory areas/ layer 5,GU5,187,left,all,7591,226.82,835.344,7591,226.82,835.344
Gustatory areas/ layer 5,GU5,187,right,all,5511,187.751,699.912,5511,187.751,699.912
Gustatory areas/ layer 6a,GU6a,638,left,all,6246,196.012,754.067,6246,196.012,754.067
Gustatory areas/ layer 6a,GU6a,638,right,all,4623,179.814,643.603,4623,179.814,643.603
Gustatory areas/ layer 6b,GU6b,662,left,all,391,141.595,754.831,391,141.595,754.831
Gustatory areas/ layer 6b,GU6b,662,right,all,331,131.73,618.71,331,131.73,618.71
Visceral area,VISC,677,left,all,25857,224.898,807.071,25857,224.898,807.071
Visceral area,VISC,677,right,all,18774,160.155,583.712,18774,160.155,583.712
Visceral area/ layer 1,VISC1,897,left,all,2118,216.1,710,2118,216.1,710
Visceral area/ layer 1,VISC1,897,right,all,1170,149.488,555.056,1170,149.488,555.056
Visceral area/ layer 2/3,VISC2/3,1106,left,all,6455,179.887,775.831,6455,179.887,775.831
Visceral area/ layer 2/3,VISC2/3,1106,right,all,4528,153.88,601.96,4528,153.88,601.96
Visceral area/ layer 4,VISC4,1010,left,all,2040,254.81,906.246,2040,254.81,906.246
Visceral area/ layer 4,VISC4,1010,right,all,1414,179.85,648.764,1414,179.85,648.764
Visceral area/ layer 5,VISC5,1058,left,all,8291,252.833,852.052,8291,252.833,852.052
Visceral area/ layer 5,VISC5,1058,right,all,6233,170.426,597.844,6233,170.426,597.844
Visceral area/ layer 6a,VISC6a,857,left,all,6467,233.757,787.953,6467,233.757,787.953
Visceral area/ layer 6a,VISC6a,857,right,all,5092,152.977,543.038,5092,152.977,543.038
Visceral area/ layer 6b,VISC6b,849,left,all,486,141.071,715.753,486,141.071,715.753
Visceral area/ layer 6b,VISC6b,849,right,all,337,117.324,518.255,337,117.324,518.255
Auditory areas,AUD,247,left,all,91492,209.684,849.797,91492,209.684,849.797
Auditory areas,AUD,247,right,all,56805,176.217,714.897,56805,176.217,714.897
Dorsal auditory area,AUDd,1011,left,all,18338,216.948,870.513,18338,216.948,870.513
Dorsal auditory area,AUDd,1011,right,all,11620,184.29,746.777,11620,184.29,746.777
Dorsal auditory area/ layer 1,AUDd1,527,left,all,1772,239.643,785.127,1772,239.643,785.127
Dorsal auditory area/ layer 1,AUDd1,527,right,all,994,154.242,641.295,994,154.242,641.295
Dorsal auditory area/ layer 2/3,AUDd2/3,600,left,all,4739,166.64,818.825,4739,166.64,818.825
Dorsal auditory area/ layer 2/3,AUDd2/3,600,right,all,3329,152.888,736.91,3329,152.888,736.91
Dorsal auditory area/ layer 4,AUDd4,678,left,all,2304,226.587,966.98,2304,226.587,966.98
Dorsal auditory area/ layer 4,AUDd4,678,right,all,1353,213.422,844.831,1353,213.422,844.831
Dorsal auditory area/ layer 5,AUDd5,252,left,all,6510,266.267,931.183,6510,266.267,931.183
Dorsal auditory area/ layer 5,AUDd5,252,right,all,3425,224.421,798.708,3425,224.421,798.708
Dorsal auditory area/ layer 6a,AUDd6a,156,left,all,2558,176.567,808.631,2558,176.567,808.631
Dorsal auditory area/ layer 6a,AUDd6a,156,right,all,2291,174.439,689.314,2291,174.439,689.314
Dorsal auditory area/ layer 6b,AUDd6b,243,left,all,455,125.104,732.767,455,125.104,732.767
Dorsal auditory area/ layer 6b,AUDd6b,243,right,all,228,97.0333,566.123,228,97.0333,566.123
Primary auditory area,AUDp,1002,left,all,35328,213.081,880.704,35328,213.081,880.704
Primary auditory area,AUDp,1002,right,all,21054,179.573,745.855,21054,179.573,745.855
Primary auditory area/ layer 1,AUDp1,735,left,all,4074,221.61,743.067,4074,221.61,743.067
Primary auditory area/ layer 1,AUDp1,735,right,all,2089,148.337,613.663,2089,148.337,613.663
Primary auditory area/ layer 2/3,AUDp2/3,251,left,all,7568,174.896,868.632,7568,174.896,868.632
Primary auditory area/ layer 2/3,AUDp2/3,251,right,all,5074,155.598,752.359,5074,155.598,752.359
Primary auditory area/ layer 4,AUDp4,816,left,all,4563,222.057,1028.52,4563,222.057,1028.52
Primary auditory area/ layer 4,AUDp4,816,right,all,2689,190.057,843.778,2689,190.057,843.778
Primary auditory area/ layer 5,AUDp5,847,left,all,14502,245.653,915.084,14502,245.653,915.084
Primary auditory area/ layer 5,AUDp5,847,right,all,6921,210.611,786.375,6921,210.611,786.375
Primary auditory area/ layer 6a,AUDp6a,954,left,all,4158,157.716,774.617,4158,157.716,774.617
Primary auditory area/ layer 6a,AUDp6a,954,right,all,3875,173.109,685.565,3875,173.109,685.565
Primary auditory area/ layer 6b,AUDp6b,1005,left,all,463,150.745,708.259,463,150.745,708.259
Primary auditory area/ layer 6b,AUDp6b,1005,right,all,406,103.102,580.887,406,103.102,580.887
Posterior auditory area,AUDpo,1027,left,all,7860,182.233,768.75,7860,182.233,768.75
Posterior auditory area,AUDpo,1027,right,all,6066,180.953,695.193,6066,180.953,695.193
Posterior auditory area/ layer 1,AUDpo1,696,left,all,798,167.691,681.132,798,167.691,681.132
Posterior auditory area/ layer 1,AUDpo1,696,right,all,658,136.522,584.997,658,136.522,584.997
Posterior auditory area/ layer 2/3,AUDpo2/3,643,left,all,1864,136.92,726.071,1864,136.92,726.071
Posterior auditory area/ layer 2/3,AUDpo2/3,643,right,all,1662,152.575,690.572,1662,152.575,690.572
Posterior auditory area/ layer 4,AUDpo4,759,left,all,1205,204.354,828.645,1205,204.354,828.645
Posterior auditory area/ layer 4,AUDpo4,759,right,all,803,220.565,783.347,803,220.565,783.347
Posterior auditory area/ layer 5,AUDpo5,791,left,all,3128,205.731,794.574,3128,205.731,794.574
Posterior auditory area/ layer 5,AUDpo5,791,right,all,1845,213.473,721.96,1845,213.473,721.96
Posterior auditory area/ layer 6a,AUDpo6a,249,left,all,739,176.081,780.79,739,176.081,780.79
Posterior auditory area/ layer 6a,AUDpo6a,249,right,all,1047,168.846,660.657,1047,168.846,660.657
Posterior auditory area/ layer 6b,AUDpo6b,456,left,all,126,185.844,670.508,126,185.844,670.508
Posterior auditory area/ layer 6b,AUDpo6b,456,right,all,51,127.398,620.196,51,127.398,620.196
Ventral auditory area,AUDv,1018,left,all,29966,208.434,821.94,29966,208.434,821.94
Ventral auditory area,AUDv,1018,right,all,18065,165.522,664.926,18065,165.522,664.926
Ventral auditory area/ layer 1,AUDv1,959,left,all,3102,236.026,717.536,3102,236.026,717.536
Ventral auditory area/ layer 1,AUDv1,959,right,all,1323,137.235,558.002,1323,137.235,558.002
Ventral auditory area/ layer 2/3,AUDv2/3,755,left,all,6290,189.024,822.662,6290,189.024,822.662
