Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,right,all,462,120.267,526.056,462,120.267,526.056
Primary somatosensory area/ unassigned,SSp-un,182305689,left,all,10280,123.706,557.377,10280,123.706,557.377
Primary somatosensory area/ unassigned,SSp-un,182305689,right,all,8044,119.397,482.256,8044,119.397,482.256
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,left,all,421,178.337,539.971,421,178.337,539.971
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,right,all,423,133.838,481.927,423,133.838,481.927
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,left,all,2031,108.147,552.154,2031,108.147,552.154
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,right,all,1613,106.428,465.043,1613,106.428,465.043
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,left,all,1452,116.204,587.486,1452,116.204,587.486
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,right,all,1075,117.141,495.63,1075,117.141,495.63
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,left,all,3046,142.196,584.796,3046,142.196,584.796
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,right,all,2075,138.323,511.913,2075,138.323,511.913
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,left,all,3196,113.622,526.431,3196,113.622,526.431
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,right,all,2620,111.379,467.632,2620,111.379,467.632
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,left,all,134,89.3615,479.776,134,89.3615,479.776
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,right,all,238,115.086,441.504,238,115.086,441.504
Supplemental somatosensory area,SSs,378,left,all,95304,129.879,578.814,95304,129.879,578.814
Supplemental somatosensory area,SSs,378,right,all,76950,126.482,520.957,76950,126.482,520.957
Supplemental somatosensory area/ layer 1,SSs1,873,left,all,8113,138.606,505.761,8113,138.606,505.761
Supplemental somatosensory area/ layer 1,SSs1,873,right,all,8048,122.025,462.39,8048,122.025,462.39
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,left,all,23318,118.145,580.862,23318,118.145,580.862
