Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Gustatory areas/ layer 1,GU1,36,left,all,2563,166.59,424.401,2563,166.59,424.401
Gustatory areas/ layer 1,GU1,36,right,all,46,135.778,485.261,46,135.778,485.261
Gustatory areas/ layer 2/3,GU2/3,180,left,all,5135,165.624,543.927,5135,165.624,543.927
Gustatory areas/ layer 2/3,GU2/3,180,right,all,2395,147.093,542.799,2395,147.093,542.799
Gustatory areas/ layer 4,GU4,148,left,all,1754,151.616,565.404,1754,151.616,565.404
Gustatory areas/ layer 4,GU4,148,right,all,1295,121.509,555.178,1295,121.509,555.178
Gustatory areas/ layer 5,GU5,187,left,all,4701,119.648,565.334,4701,119.648,565.334
Gustatory areas/ layer 5,GU5,187,right,all,5072,148.661,548.146,5072,148.661,548.146
Gustatory areas/ layer 6a,GU6a,638,left,all,3096,105.68,519.48,3096,105.68,519.48
Gustatory areas/ layer 6a,GU6a,638,right,all,4072,162.102,466.706,4072,162.102,466.706
Gustatory areas/ layer 6b,GU6b,662,left,all,249,104.982,519.116,249,104.982,519.116
Gustatory areas/ layer 6b,GU6b,662,right,all,417,141.548,420.71,417,141.548,420.71
Visceral area,VISC,677,left,all,28761,153.055,526.953,28761,153.055,526.953
Visceral area,VISC,677,right,all,13944,157.254,541.891,13944,157.254,541.891
Visceral area/ layer 1,VISC1,897,left,all,4259,213.341,434.383,4259,213.341,434.383
Visceral area/ layer 1,VISC1,897,right,all,0,0,0,0,0,0
Visceral area/ layer 2/3,VISC2/3,1106,left,all,7437,168.202,533.643,7437,168.202,533.643
Visceral area/ layer 2/3,VISC2/3,1106,right,all,319,198.249,560.674,319,198.249,560.674
Visceral area/ layer 4,VISC4,1010,left,all,2639,169.09,564.441,2639,169.09,564.441
Visceral area/ layer 4,VISC4,1010,right,all,1123,210.418,573.808,1123,210.418,573.808
Visceral area/ layer 5,VISC5,1058,left,all,8023,135.12,558.031,8023,135.12,558.031
Visceral area/ layer 5,VISC5,1058,right,all,6826,134.053,553.07,6826,134.053,553.07
Visceral area/ layer 6a,VISC6a,857,left,all,5882,111.922,525.453,5882,111.922,525.453
Visceral area/ layer 6a,VISC6a,857,right,all,5125,174.031,525.697,5125,174.031,525.697
Visceral area/ layer 6b,VISC6b,849,left,all,521,103.376,536.643,521,103.376,536.643
Visceral area/ layer 6b,VISC6b,849,right,all,551,156.553,478.103,551,156.553,478.103
Auditory areas,AUD,247,left,all,65160,150.103,527.584,65160,150.103,527.584
Auditory areas,AUD,247,right,all,27881,136.777,477.796,27881,136.777,477.796
Dorsal auditory area,AUDd,1011,left,all,12547,154.113,567.548,12547,154.113,567.548
Dorsal auditory area,AUDd,1011,right,all,5770,139.828,492.345,5770,139.828,492.345
Dorsal auditory area/ layer 1,AUDd1,527,left,all,2413,160.372,466.759,2413,160.372,466.759
Dorsal auditory area/ layer 1,AUDd1,527,right,all,0,0,0,0,0,0
Dorsal auditory area/ layer 2/3,AUDd2/3,600,left,all,3502,179.998,577.356,3502,179.998,577.356
