Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,right,all,545,176.253,628.908,545,176.253,628.908
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,left,all,1035,212.093,845.573,1035,212.093,845.573
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,right,all,387,200.682,664.91,387,200.682,664.91
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,left,all,1754,240.547,877.04,1754,240.547,877.04
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,right,all,1157,206.033,674.062,1157,206.033,674.062
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,left,all,1320,168.091,749.633,1320,168.091,749.633
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,right,all,693,160.648,587.83,693,160.648,587.83
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,left,all,152,145.445,790.947,152,145.445,790.947
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,right,all,51,156.353,551.431,51,156.353,551.431
Supplemental somatosensory area,SSs,378,left,all,54095,339.004,1027.5,54095,339.004,1027.5
Supplemental somatosensory area,SSs,378,right,all,31964,303.991,838.497,31964,303.991,838.497
Supplemental somatosensory area/ layer 1,SSs1,873,left,all,11565,848.663,1913.01,11565,848.663,1913.01
Supplemental somatosensory area/ layer 1,SSs1,873,right,all,9336,595.609,1380.73,9336,595.609,1380.73
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,left,all,8671,176.096,790.45,8671,176.096,790.45
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,right,all,4149,175.347,613.05,4149,175.347,613.05
Supplemental somatosensory area/ layer 4,SSs4,1035,left,all,7151,205.879,817.091,7151,205.879,817.091
Supplemental somatosensory area/ layer 4,SSs4,1035,right,all,3025,189.143,639.493,3025,189.143,639.493
Supplemental somatosensory area/ layer 5,SSs5,1090,left,all,14225,225.785,813.2,14225,225.785,813.2
Supplemental somatosensory area/ layer 5,SSs5,1090,right,all,8284,199.959,636.051,8284,199.959,636.051
Supplemental somatosensory area/ layer 6a,SSs6a,862,left,all,11054,184.546,735.529,11054,184.546,735.529
Supplemental somatosensory area/ layer 6a,SSs6a,862,right,all,6522,167.438,584.121,6522,167.438,584.121
Supplemental somatosensory area/ layer 6b,SSs6b,893,left,all,1429,190.828,744.04,1429,190.828,744.04
Supplemental somatosensory area/ layer 6b,SSs6b,893,right,all,648,166.647,547.125,648,166.647,547.125
Gustatory areas,GU,1057,left,all,11104,310.235,909.384,11104,310.235,909.384
Gustatory areas,GU,1057,right,all,8936,267.194,733.431,8936,267.194,733.431
