Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,4046,126.859,1016.37,4046,126.859,1016.37
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,13516,97.4598,946.685,13516,97.4598,946.685
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,6388,87.5472,853.012,6388,87.5472,853.012
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,1244,71.8955,1012.82,1244,71.8955,1012.82
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,573,91.1262,796.49,573,91.1262,796.49
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,27240,115.415,988.57,27240,115.415,988.57
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,19489,103.028,926.598,19489,103.028,926.598
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,1797,109.925,797.276,1797,109.925,797.276
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,1874,86.041,737.946,1874,86.041,737.946
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,5702,107.045,1005.28,5702,107.045,1005.28
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,4396,92.0509,936.052,4396,92.0509,936.052
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,3237,143.349,1158.56,3237,143.349,1158.56
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,right,all,1715,179.627,1167.31,1715,179.627,1167.31
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,left,all,4779,172.106,1176.28,4779,172.106,1176.28
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,right,all,3007,126.909,1051.8,3007,126.909,1051.8
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,left,all,10227,86.9218,890.594,10227,86.9218,890.594
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,right,all,7234,88.1527,874.717,7234,88.1527,874.717
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,left,all,1498,107.166,857.149,1498,107.166,857.149
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,right,all,1263,90.7736,845.813,1263,90.7736,845.813
Primary somatosensory area/ trunk,SSp-tr,361,left,all,7410,116.86,1054.13,7410,116.86,1054.13
Primary somatosensory area/ trunk,SSp-tr,361,right,all,6328,109.13,995.567,6328,109.13,995.567
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,left,all,329,91.06,846.444,329,91.06,846.444
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,right,all,647,73.5995,720.621,647,73.5995,720.621
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,left,all,2015,96.8375,943.96,2015,96.8375,943.96
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,right,all,2068,75.3748,860.621,2068,75.3748,860.621
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,left,all,1072,91.7342,1046.51,1072,91.7342,1046.51
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,right,all,641,128.43,1054.3,641,128.43,1054.3
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,left,all,2236,147.565,1166.19,2236,147.565,1166.19
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,right,all,1488,168.479,1229.73,1488,168.479,1229.73
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,left,all,1498,120.426,1078.78,1498,120.426,1078.78
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,right,all,1138,109.11,1045.94,1138,109.11,1045.94
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,left,all,260,123.663,1096.57,260,123.663,1096.57
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,right,all,346,86.4014,1034.72,346,86.4014,1034.72
Primary somatosensory area/ unassigned,SSp-un,182305689,left,all,8877,120.519,1022.2,8877,120.519,1022.2
Primary somatosensory area/ unassigned,SSp-un,182305689,right,all,6467,107.035,962.572,6467,107.035,962.572
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,left,all,646,122.48,840.751,646,122.48,840.751
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,right,all,595,81.3816,740.346,595,81.3816,740.346
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,left,all,1965,104.945,997.518,1965,104.945,997.518
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,right,all,1439,92.4449,967.63,1439,92.4449,967.63
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,left,all,1093,147.518,1166.9,1093,147.518,1166.9
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,right,all,683,164.152,1168.55,683,164.152,1168.55
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,left,all,1535,167.279,1215.14,1535,167.279,1215.14
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,right,all,1026,138.902,1131.33,1026,138.902,1131.33
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,left,all,3212,99.538,945.492,3212,99.538,945.492
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,right,all,2286,92.0091,897.312,2286,92.0091,897.312
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,left,all,426,109.814,923.026,426,109.814,923.026
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,right,all,438,104.528,871.947,438,104.528,871.947
Supplemental somatosensory area,SSs,378,left,all,53331,139.228,1054.19,53331,139.228,1054.19
Supplemental somatosensory area,SSs,378,right,all,39759,107.473,941.931,39759,107.473,941.931
Supplemental somatosensory area/ layer 1,SSs1,873,left,all,5474,222.725,965.376,5474,222.725,965.376
Supplemental somatosensory area/ layer 1,SSs1,873,right,all,4175,109.978,789.366,4175,109.978,789.366
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,left,all,11460,103.133,974.919,11460,103.133,974.919
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,right,all,8761,91.9164,935.474,8761,91.9164,935.474
Supplemental somatosensory area/ layer 4,SSs4,1035,left,all,6483,132.615,1124.67,6483,132.615,1124.67
Supplemental somatosensory area/ layer 4,SSs4,1035,right,all,4439,125.026,1040.39,4439,125.026,1040.39
Supplemental somatosensory area/ layer 5,SSs5,1090,left,all,11834,164.492,1157.49,11834,164.492,1157.49
Supplemental somatosensory area/ layer 5,SSs5,1090,right,all,8393,126.705,1028.89,8393,126.705,1028.89
Supplemental somatosensory area/ layer 6a,SSs6a,862,left,all,15613,125.618,1042.72,15613,125.618,1042.72
Supplemental somatosensory area/ layer 6a,SSs6a,862,right,all,11564,98.8029,909.148,11564,98.8029,909.148
Supplemental somatosensory area/ layer 6b,SSs6b,893,left,all,2467,103.945,1011.37,2467,103.945,1011.37
Supplemental somatosensory area/ layer 6b,SSs6b,893,right,all,2427,102.024,903.082,2427,102.024,903.082
Gustatory areas,GU,1057,left,all,10065,160.257,993.239,10065,160.257,993.239
Gustatory areas,GU,1057,right,all,6934,99.8649,806.856,6934,99.8649,806.856
Gustatory areas/ layer 1,GU1,36,left,all,1433,375.009,1262.51,1433,375.009,1262.51
Gustatory areas/ layer 1,GU1,36,right,all,505,111.284,773.23,505,111.284,773.23
Gustatory areas/ layer 2/3,GU2/3,180,left,all,1806,104.475,910.915,1806,104.475,910.915
Gustatory areas/ layer 2/3,GU2/3,180,right,all,1600,87.7354,789.384,1600,87.7354,789.384
Gustatory areas/ layer 4,GU4,148,left,all,708,110.041,922.852,708,110.041,922.852
Gustatory areas/ layer 4,GU4,148,right,all,509,102.773,812.075,509,102.773,812.075
Gustatory areas/ layer 5,GU5,187,left,all,3044,151.189,988.877,3044,151.189,988.877
Gustatory areas/ layer 5,GU5,187,right,all,2031,103.902,820.615,2031,103.902,820.615
Gustatory areas/ layer 6a,GU6a,638,left,all,2792,116.397,929.636,2792,116.397,929.636
Gustatory areas/ layer 6a,GU6a,638,right,all,2015,105.47,821.717,2015,105.47,821.717
Gustatory areas/ layer 6b,GU6b,662,left,all,282,84.4383,1005.64,282,84.4383,1005.64
Gustatory areas/ layer 6b,GU6b,662,right,all,274,73.1036,749.883,274,73.1036,749.883
Visceral area,VISC,677,left,all,10617,173.845,1051.48,10617,173.845,1051.48
Visceral area,VISC,677,right,all,8944,111.973,881.165,8944,111.973,881.165
Visceral area/ layer 1,VISC1,897,left,all,1611,304.434,1144.93,1611,304.434,1144.93
Visceral area/ layer 1,VISC1,897,right,all,989,119.832,794.25,989,119.832,794.25
Visceral area/ layer 2/3,VISC2/3,1106,left,all,2251,111.798,909.888,2251,111.798,909.888
Visceral area/ layer 2/3,VISC2/3,1106,right,all,1890,88.0097,820.337,1890,88.0097,820.337
Visceral area/ layer 4,VISC4,1010,left,all,733,119.421,962.583,733,119.421,962.583
Visceral area/ layer 4,VISC4,1010,right,all,630,105.994,883.037,630,105.994,883.037
Visceral area/ layer 5,VISC5,1058,left,all,2900,167.709,1081.31,2900,167.709,1081.31
Visceral area/ layer 5,VISC5,1058,right,all,2531,116.629,906.956,2531,116.629,906.956
Visceral area/ layer 6a,VISC6a,857,left,all,2744,171.916,1098.21,2744,171.916,1098.21
Visceral area/ layer 6a,VISC6a,857,right,all,2492,124.087,927.022,2492,124.087,927.022
Visceral area/ layer 6b,VISC6b,849,left,all,378,153.397,1100.66,378,153.397,1100.66
Visceral area/ layer 6b,VISC6b,849,right,all,412,110.298,930.182,412,110.298,930.182
Auditory areas,AUD,247,left,all,38110,138.035,982.327,38110,138.035,982.327
Auditory areas,AUD,247,right,all,27937,90.1712,772.904,27937,90.1712,772.904
Dorsal auditory area,AUDd,1011,left,all,8198,142.253,1069.86,8198,142.253,1069.86
Dorsal auditory area,AUDd,1011,right,all,5725,90.2875,799.215,5725,90.2875,799.215
Dorsal auditory area/ layer 1,AUDd1,527,left,all,904,172.333,894.823,904,172.333,894.823
Dorsal auditory area/ layer 1,AUDd1,527,right,all,765,86.7084,702.137,765,86.7084,702.137
Dorsal auditory area/ layer 2/3,AUDd2/3,600,left,all,1942,107.316,1020.87,1942,107.316,1020.87
Dorsal auditory area/ layer 2/3,AUDd2/3,600,right,all,1246,81.7132,796.776,1246,81.7132,796.776
Dorsal auditory area/ layer 4,AUDd4,678,left,all,982,158.512,1211.96,982,158.512,1211.96
Dorsal auditory area/ layer 4,AUDd4,678,right,all,420,111.804,873.098,420,111.804,873.098
Dorsal auditory area/ layer 5,AUDd5,252,left,all,2134,186.148,1218.61,2134,186.148,1218.61
Dorsal auditory area/ layer 5,AUDd5,252,right,all,1193,102.253,864.873,1193,102.253,864.873
Dorsal auditory area/ layer 6a,AUDd6a,156,left,all,1801,108.35,994.417,1801,108.35,994.417
Dorsal auditory area/ layer 6a,AUDd6a,156,right,all,1580,87.6593,795.288,1580,87.6593,795.288
Dorsal auditory area/ layer 6b,AUDd6b,243,left,all,435,124.03,914.186,435,124.03,914.186
Dorsal auditory area/ layer 6b,AUDd6b,243,right,all,521,79.2744,749.599,521,79.2744,749.599
Primary auditory area,AUDp,1002,left,all,14110,135.43,990.491,14110,135.43,990.491
Primary auditory area,AUDp,1002,right,all,9805,86.1874,770.167,9805,86.1874,770.167
Primary auditory area/ layer 1,AUDp1,735,left,all,1716,178.095,898.861,1716,178.095,898.861
Primary auditory area/ layer 1,AUDp1,735,right,all,1381,75.077,715.313,1381,75.077,715.313
Primary auditory area/ layer 2/3,AUDp2/3,251,left,all,2737,104.514,962.982,2737,104.514,962.982
Primary auditory area/ layer 2/3,AUDp2/3,251,right,all,1870,82.6483,806.309,1870,82.6483,806.309
Primary auditory area/ layer 4,AUDp4,816,left,all,1530,138.997,1114.74,1530,138.997,1114.74
Primary auditory area/ layer 4,AUDp4,816,right,all,780,113.092,860.371,780,113.092,860.371
Primary auditory area/ layer 5,AUDp5,847,left,all,4406,153.009,1062.5,4406,153.009,1062.5
Primary auditory area/ layer 5,AUDp5,847,right,all,2377,93.0581,794.79,2377,93.0581,794.79
Primary auditory area/ layer 6a,AUDp6a,954,left,all,2896,117.68,929.818,2896,117.68,929.818
Primary auditory area/ layer 6a,AUDp6a,954,right,all,2558,86.7014,741.685,2558,86.7014,741.685
Primary auditory area/ layer 6b,AUDp6b,1005,left,all,825,111.061,870.336,825,111.061,870.336
Primary auditory area/ layer 6b,AUDp6b,1005,right,all,839,66.3184,713.125,839,66.3184,713.125
Posterior auditory area,AUDpo,1027,left,all,3684,126.9,897.292,3684,126.9,897.292
Posterior auditory area,AUDpo,1027,right,all,2633,90.3011,755.334,2633,90.3011,755.334
Posterior auditory area/ layer 1,AUDpo1,696,left,all,492,86.9159,684.065,492,86.9159,684.065
Posterior auditory area/ layer 1,AUDpo1,696,right,all,490,78.5454,706.808,490,78.5454,706.808
Posterior auditory area/ layer 2/3,AUDpo2/3,643,left,all,868,93.1733,847.604,868,93.1733,847.604
Posterior auditory area/ layer 2/3,AUDpo2/3,643,right,all,568,87.6721,753.678,568,87.6721,753.678
Posterior auditory area/ layer 4,AUDpo4,759,left,all,480,141.884,948.048,480,141.884,948.048
Posterior auditory area/ layer 4,AUDpo4,759,right,all,245,109.309,812.118,245,109.309,812.118
Posterior auditory area/ layer 5,AUDpo5,791,left,all,1137,168.987,979.399,1137,168.987,979.399
Posterior auditory area/ layer 5,AUDpo5,791,right,all,680,99.9857,765.779,680,99.9857,765.779
Posterior auditory area/ layer 6a,AUDpo6a,249,left,all,517,132.644,940.41,517,132.644,940.41
Posterior auditory area/ layer 6a,AUDpo6a,249,right,all,479,85.2357,755.868,479,85.2357,755.868
Posterior auditory area/ layer 6b,AUDpo6b,456,left,all,190,79.1702,939.526,190,79.1702,939.526
Posterior auditory area/ layer 6b,AUDpo6b,456,right,all,171,81.1619,775.497,171,81.1619,775.497
Ventral auditory area,AUDv,1018,left,all,12118,141.6,939.457,12118,141.6,939.457
Ventral auditory area,AUDv,1018,right,all,9774,94.0646,764.972,9774,94.0646,764.972
Ventral auditory area/ layer 1,AUDv1,959,left,all,1264,237.479,955.604,1264,237.479,955.604
Ventral auditory area/ layer 1,AUDv1,959,right,all,1181,85.9634,702.026,1181,85.9634,702.026
Ventral auditory area/ layer 2/3,AUDv2/3,755,left,all,1921,103.38,843.447,1921,103.38,843.447
Ventral auditory area/ layer 2/3,AUDv2/3,755,right,all,1642,107.029,786.98,1642,107.029,786.98
Ventral auditory area/ layer 4,AUDv4,990,left,all,1343,119.781,939.332,1343,119.781,939.332
Ventral auditory area/ layer 4,AUDv4,990,right,all,738,108.095,804.63,738,108.095,804.63
Ventral auditory area/ layer 5,AUDv5,1023,left,all,3946,157.692,990.557,3946,157.692,990.557
Ventral auditory area/ layer 5,AUDv5,1023,right,all,2506,99.1297,772.283,2506,99.1297,772.283
Ventral auditory area/ layer 6a,AUDv6a,520,left,all,2818,118.714,947.803,2818,118.714,947.803
Ventral auditory area/ layer 6a,AUDv6a,520,right,all,3122,84.6956,764.315,3122,84.6956,764.315
Ventral auditory area/ layer 6b,AUDv6b,598,left,all,826,120.442,865.649,826,120.442,865.649
Ventral auditory area/ layer 6b,AUDv6b,598,right,all,585,84.6328,752.434,585,84.6328,752.434
Visual areas,VIS,669,left,all,62131,118.199,952.938,62131,118.199,952.938
Visual areas,VIS,669,right,all,46391,91.6745,832.371,46391,91.6745,832.371
Anterolateral visual area,VISal,402,left,all,4186,116.224,904.436,4186,116.224,904.436
Anterolateral visual area,VISal,402,right,all,2674,87.2515,747.862,2674,87.2515,747.862
Anterolateral visual area/ layer 1,VISal1,1074,left,all,464,78.9891,711.677,464,78.9891,711.677
Anterolateral visual area/ layer 1,VISal1,1074,right,all,451,69.5652,668.663,451,69.5652,668.663
Anterolateral visual area/ layer 2/3,VISal2/3,905,left,all,1093,90.6757,855.048,1093,90.6757,855.048
Anterolateral visual area/ layer 2/3,VISal2/3,905,right,all,674,79.4908,750.283,674,79.4908,750.283
